customer_key,customer_id,customer_number,first_name,last_name,gender,country,marital_status,birthdate,create_date
1,11000,AW00011000,Jon,Yang,Male,Australia,Married,1971-10-06,2025-10-06
2,11001,AW00011001,Eugene,Huang,Male,Australia,Single,1976-05-10,2025-10-06
3,11002,AW00011002,Ruben,Torres,Male,Australia,Married,1971-02-09,2025-10-06
4,11003,AW00011003,Christy,Zhu,Female,Australia,Single,1973-08-14,2025-10-06
5,11004,AW00011004,Elizabeth,Johnson,Female,Australia,Single,1979-08-05,2025-10-06
6,11005,AW00011005,Julio,Ruiz,Male,Australia,Single,1976-08-01,2025-10-06
7,11006,AW00011006,Janet,Alvarez,Female,Australia,Single,1976-12-02,2025-10-06
8,11007,AW00011007,Marco,Mehta,Male,Australia,Married,1969-11-06,2025-10-06
9,11008,AW00011008,Rob,Verhoff,Female,Australia,Single,1975-07-04,2025-10-06
10,11009,AW00011009,Shannon,Carlson,Male,Australia,Single,1969-09-29,2025-10-06
11,11010,AW00011010,Jacquelyn,Suarez,Female,Australia,Single,1969-08-05,2025-10-06
12,11011,AW00011011,Curtis,Lu,Male,Australia,Married,1969-05-03,2025-10-06
13,11012,AW00011012,Lauren,Walker,Female,United States,Married,1979-01-14,2025-10-06
14,11013,AW00011013,Ian,Jenkins,Male,United States,Married,1979-08-03,2025-10-06
15,11014,AW00011014,Sydney,Bennett,Female,United States,Single,1973-11-06,2025-10-06
16,11015,AW00011015,Chloe,Young,Female,United States,Single,1984-08-26,2025-10-06
17,11016,AW00011016,Wyatt,Hill,Male,United States,Married,1984-10-25,2025-10-07
18,11017,AW00011017,Shannon,Wang,Female,Australia,Single,1949-12-24,2025-10-07
19,11018,AW00011018,Clarence,Rai,Male,Australia,Single,1955-10-06,2025-10-07
20,11019,AW00011019,Luke,Lal,Male,Canada,Single,1983-09-04,2025-10-07
21,11020,AW00011020,Jordan,King,Male,Canada,Single,1984-03-19,2025-10-07
22,11021,AW00011021,Destiny,Wilson,Female,United States,Single,1984-03-02,2025-10-07
23,11022,AW00011022,Ethan,Zhang,Male,United States,Married,1984-04-10,2025-10-07
24,11023,AW00011023,Seth,Edwards,Male,United States,Married,1984-04-09,2025-10-07
25,11024,AW00011024,Russell,Xie,Male,United States,Married,1984-03-16,2025-10-07
26,11025,AW00011025,Alejandro,Beck,Male,Australia,Married,1951-06-22,2025-10-07
27,11026,AW00011026,Harold,Sai,Male,Australia,Single,1951-10-01,2025-10-07
28,11027,AW00011027,Jessie,Zhao,Male,Australia,Married,1952-06-05,2025-10-07
29,11028,AW00011028,Jill,Jimenez,Female,Australia,Married,1951-10-09,2025-10-07
30,11029,AW00011029,Jimmy,Moreno,Male,Australia,Married,1952-06-19,2025-10-07
31,11030,AW00011030,Bethany,Yuan,Female,Australia,Married,1958-02-18,2025-10-07
32,11031,AW00011031,Theresa,Ramos,Female,Australia,Married,1953-02-18,2025-10-07
33,11032,AW00011032,Denise,Stone,Female,Australia,Married,1952-12-08,2025-10-07
34,11033,AW00011033,Jaime,Nath,Male,Australia,Married,1958-09-19,2025-10-07
35,11034,AW00011034,Ebony,Gonzalez,Female,Australia,Married,1952-12-16,2025-10-07
36,11035,AW00011035,Wendy,Dominguez,Female,Australia,Married,1953-08-23,2025-10-07
37,11036,AW00011036,Jennifer,Russell,Female,United States,Married,1984-06-16,2025-10-07
38,11037,AW00011037,Chloe,Garcia,Female,Canada,Single,1983-05-27,2025-10-07
39,11038,AW00011038,Diana,Hernandez,Female,Australia,Married,1953-09-20,2025-10-07
40,11039,AW00011039,Marc,Martin,Male,Australia,Married,1954-06-16,2025-10-07
41,11040,AW00011040,Jesse,Murphy,Male,United States,Married,1983-01-29,2025-10-07
42,11041,AW00011041,Amanda,Carter,Female,United States,Married,1983-04-15,2025-10-07
43,11042,AW00011042,Megan,Sanchez,Female,United States,Married,1982-12-11,2025-10-07
44,11043,AW00011043,Nathan,Simmons,Male,United States,Married,1981-08-23,2025-10-07
45,11044,AW00011044,Adam,Flores,Male,Australia,Married,1954-11-21,2025-10-07
46,11045,AW00011045,Leonard,Nara,Male,Australia,Single,1955-11-16,2025-10-07
47,11046,AW00011046,Christine,Yuan,Female,Australia,Married,1955-09-19,2025-10-07
48,11047,AW00011047,Jaclyn,Lu,Female,Australia,Married,1955-08-27,2025-10-07
49,11048,AW00011048,Jeremy,Powell,Male,Australia,Married,1956-05-21,2025-10-07
50,11049,AW00011049,Carol,Rai,Female,United States,Single,1986-01-15,2025-10-07
51,11050,AW00011050,Alan,Zheng,Male,Australia,Married,1957-03-06,2025-10-07
52,11051,AW00011051,Daniel,Johnson,Male,Australia,Single,1957-01-31,2025-10-07
53,11052,AW00011052,Heidi,Lopez,Female,Australia,Single,1957-02-03,2025-10-07
54,11053,AW00011053,Ana,Price,Female,United States,Married,1986-02-17,2025-10-07
55,11054,AW00011054,Deanna,Munoz,Female,Australia,Married,1957-09-07,2025-10-07
56,11055,AW00011055,Gilbert,Raje,Male,Australia,Married,1957-09-02,2025-10-07
57,11056,AW00011056,Michele,Nath,Female,Australia,Married,1958-10-01,2025-10-07
58,11057,AW00011057,Carl,Andersen,Male,Australia,Married,1970-04-07,2025-10-07
59,11058,AW00011058,Marc,Diaz,Male,Australia,Married,1965-04-23,2025-10-07
60,11059,AW00011059,Ashlee,Andersen,Female,Australia,Single,1959-09-29,2025-10-07
61,11060,AW00011060,Jon,Zhou,Male,Australia,Married,1959-09-14,2025-10-07
62,11061,AW00011061,Todd,Gao,Male,Australia,Married,1976-02-20,2025-10-07
63,11062,AW00011062,Noah,Powell,Male,United States,Married,1981-03-01,2025-10-07
64,11063,AW00011063,Angela,Murphy,Female,United States,Single,1980-10-04,2025-10-07
65,11064,AW00011064,Chase,Reed,Male,United States,Married,1981-06-05,2025-10-07
66,11065,AW00011065,Jessica,Henderson,Female,United States,Married,1979-04-08,2025-10-07
67,11066,AW00011066,Grace,Butler,Female,United States,Married,1979-05-27,2025-10-07
68,11067,AW00011067,Caleb,Carter,Male,United States,Single,1982-03-25,2025-10-07
69,11068,AW00011068,Tiffany,Liang,Female,Australia,Single,1966-09-19,2025-10-07
70,11069,AW00011069,Carolyn,Navarro,Female,Australia,Single,1966-09-17,2025-10-07
71,11070,AW00011070,Willie,Raji,Male,Australia,Married,1960-10-02,2025-10-07
72,11071,AW00011071,Linda,Serrano,Female,Australia,Single,1960-12-23,2025-10-07
73,11072,AW00011072,Casey,Luo,Female,Australia,Single,1960-08-05,2025-10-07
74,11073,AW00011073,Amy,Ye,Female,Australia,Single,1962-02-11,2025-10-07
75,11074,AW00011074,Levi,Arun,Male,Australia,Single,1962-02-25,2025-10-07
76,11075,AW00011075,Felicia,Jimenez,Female,Australia,Single,1963-05-16,2025-10-07
77,11076,AW00011076,Blake,Anderson,Male,Australia,Single,1963-01-10,2025-10-07
78,11077,AW00011077,Leah,Ye,Female,Australia,Single,1963-03-19,2025-10-07
79,11078,AW00011078,Gina,Martin,Female,Canada,Single,1985-01-06,2025-10-07
80,11079,AW00011079,Donald,Gonzalez,Male,Australia,Single,1970-03-07,2025-10-07
81,11080,AW00011080,Damien,Chander,Male,Australia,Married,1965-01-13,2025-10-07
82,11081,AW00011081,Savannah,Baker,Female,United States,Married,1972-01-21,2025-10-07
